distancia_km,vehiculo_tipo,hora_dia
38.07947176588889,camion,14
73.46740023932911,camion,20
16.445845403801215,auto,22
6.750277604651747,bicicleta,20
60.510386162577674,bicicleta,2
3.0378649352844422,furgoneta,23
83.41182143924175,furgoneta,1
19.00067175350296,camion,0
31.119982052994235,furgoneta,11
3.28318007910016,auto,9
5.619900658147928,bicicleta,15
24.044362702600118,furgoneta,14
62.22021492397564,bicicleta,22
98.33985769487204,camion,2
86.13410026689573,auto,20
45.59942594498476,furgoneta,3
94.27797381280043,furgoneta,17
39.156233751451694,furgoneta,20
23.85848873659275,bicicleta,14
68.64308836372037,bicicleta,7
4.404463590406621,furgoneta,16
26.619218178401674,bicicleta,3
31.859396532851683,furgoneta,21
55.12431765498469,furgoneta,17
77.73814951275034,furgoneta,9
89.58790769233724,furgoneta,15
33.327536111777704,furgoneta,22
52.56259174255654,furgoneta,7
84.60885101913699,camion,17
54.4295211065189,bicicleta,12
14.951498272501501,auto,12
8.380513724297312,auto,8
77.45223216036908,bicicleta,7
1.5466895952366375,auto,18
70.9788770409141,auto,2
77.35576432190862,camion,9
36.48810712588299,camion,6
85.15381920119013,bicicleta,1
10.44560153255072,auto,22
67.21528401369712,camion,2
59.538480983064986,furgoneta,2
47.74927759103298,camion,14
71.6112339350765,camion,4
56.56644255938013,auto,13
49.88576404007468,camion,14
43.326560817496414,furgoneta,12
20.970201031204223,bicicleta,6
48.06165209502906,camion,3
90.84908091868321,auto,6
41.62790938052734,auto,3
94.34250348524012,auto,18
16.960907438146435,furgoneta,9
81.00391757687729,camion,20
87.27459842858406,bicicleta,11
19.470435829717548,furgoneta,10
33.110157079522125,auto,6
90.77601571302965,camion,19
35.904316777082734,auto,6
17.30092946115123,auto,8
48.99816716453934,camion,18
27.671821046053626,bicicleta,14
17.660813175120126,bicicleta,23
70.59887693062261,camion,16
26.137625979500125,bicicleta,6
50.22760208334616,camion,4
29.199208943369293,camion,16
97.68488062743263,bicicleta,21
4.2720225571542905,bicicleta,0
63.80078312543502,furgoneta,1
53.5625237483965,furgoneta,5
24.96347187963854,bicicleta,22
76.40034191754305,auto,16
73.0934185125741,bicicleta,4
63.59827722876437,furgoneta,21
54.04169372340109,bicicleta,15
83.69494706333455,bicicleta,5
69.8854678722973,auto,19
33.26993161498659,bicicleta,18
71.40380371136376,auto,18
35.51793274188121,auto,19
94.1118031844708,bicicleta,6
93.73626888493672,camion,10
34.76556875397559,camion,17
92.54466820957772,furgoneta,9
