distancia_km,vehiculo_tipo,hora_dia
7.970956248530198,furgoneta,2
7.285179457556566,auto,13
39.33867664964259,furgoneta,20
45.02129883879481,camion,8
10.780789296626805,furgoneta,21
90.0789012716379,bicicleta,22
15.086480875624007,camion,13
79.51962409723389,auto,22
66.20704992919126,camion,14
12.367865427760275,camion,20
48.10420356333372,auto,1
51.03129429969667,bicicleta,2
96.16611160741625,camion,5
16.593874285629873,camion,2
44.205673756967045,camion,8
62.68861609398778,auto,15
68.25671044530517,auto,20
82.42238931782882,auto,23
29.033963257041602,auto,10
89.93550214559265,auto,17
26.788922300481858,auto,7
47.975679359825406,furgoneta,22
69.70356289238158,auto,16
69.3442121536551,bicicleta,5
83.29049635866811,camion,18
91.45684188930741,auto,17
87.01749089074855,camion,13
34.80698112747037,auto,8
93.10809496764233,bicicleta,8
31.22763755567859,auto,1
3.3165275742223543,auto,5
2.148729803040397,camion,16
6.195123101113731,camion,1
39.7519602369494,auto,8
46.524525463389324,camion,10
4.439771719418874,auto,19
55.68389363727969,furgoneta,1
78.40348908083028,furgoneta,22
30.21338933813303,bicicleta,11
11.903765010137139,camion,21
47.74243806462211,camion,5
48.61166397314122,auto,3
53.38943664476178,auto,16
10.420509322131934,furgoneta,12
73.69938799041192,camion,16
16.056214001517827,furgoneta,0
12.777541860404563,camion,15
44.80539645332033,auto,19
51.13596944988658,camion,10
91.92297437260744,furgoneta,16
75.84643488740065,furgoneta,15
53.379210559716334,furgoneta,10
25.63045998469744,camion,14
15.177221117452143,bicicleta,20
86.65897979218556,furgoneta,11
72.6966644340557,furgoneta,8
89.24301460108622,furgoneta,19
38.98949501981349,auto,18
65.91572513358841,furgoneta,9
71.49101182626137,auto,5
25.004628150494725,auto,22
22.135938377691623,bicicleta,22
35.231332459447465,camion,16
49.25413111999336,auto,20
87.15615734549124,auto,1
37.231770784729605,furgoneta,17
93.81220789474776,auto,20
33.83159680924683,bicicleta,19
80.61383270380978,furgoneta,0
43.187220553061415,camion,13
74.80715093195899,furgoneta,19
82.4771425334678,auto,21
78.35715754678029,furgoneta,1
73.16967244408481,camion,11
29.03502326056393,bicicleta,14
50.836580505052346,camion,4
75.50260473527688,bicicleta,6
55.09343496530774,camion,18
50.78664516333517,camion,3
66.81824767141377,bicicleta,14
22.48609078104801,auto,10
17.30482201452241,furgoneta,15
68.24067422517702,auto,14
23.227714546912434,furgoneta,0
73.86343171225941,auto,23
81.26974815040344,bicicleta,1
8.693629512054414,furgoneta,11
79.40240605571132,furgoneta,4
70.06874333539606,camion,1
47.87660496168871,bicicleta,17
95.49148793745829,bicicleta,4
43.11191629397242,bicicleta,11
67.46385043916135,camion,5
14.889286918521064,auto,13
87.70625884463992,camion,23
9.569531251769623,bicicleta,9
43.580015011733984,camion,8
8.212301489302254,camion,19
9.020513822544865,bicicleta,16
21.964649919261678,furgoneta,9
66.7797655048543,bicicleta,5
39.63465427072736,camion,17
90.60376614310435,auto,15
7.357255576322986,auto,3
36.04069122316978,camion,20
81.3405448177997,camion,4
85.14086025737382,bicicleta,20
43.903169728698686,bicicleta,0
12.081089056766482,furgoneta,2
68.74755116091873,bicicleta,11
78.26593957548991,bicicleta,18
41.03127282932867,furgoneta,18
45.10610686787868,auto,12
56.986754546314835,furgoneta,5
16.415195423629854,bicicleta,7
29.87718173895385,auto,20
90.33767003982534,camion,7
68.83852431951638,furgoneta,21
38.302532488080075,bicicleta,2
91.22861597815313,auto,5
8.495262298431902,bicicleta,21
87.66939478480808,bicicleta,12
54.965971039512446,furgoneta,8
83.03185822857633,bicicleta,18
49.2980170983805,bicicleta,2
95.47791901814576,bicicleta,3
5.859240101886804,auto,18
21.176989470203623,auto,7
45.26651499005882,bicicleta,6
85.22657010981241,camion,1
62.195396336163924,bicicleta,19
14.863626439098196,auto,22
76.46159777609672,auto,12
12.029434625930685,furgoneta,8
25.744515821972186,auto,19
80.71112634752537,furgoneta,3
65.68599032916646,auto,23
61.186151010029775,bicicleta,5
37.7025772897174,camion,19
75.32849949529421,furgoneta,21
13.642544141763773,camion,0
59.4699314811157,camion,3
67.30399030257769,furgoneta,6
7.990765839490188,bicicleta,5
21.544621378820523,camion,12
61.86112365774131,furgoneta,5
6.23560226594139,furgoneta,18
52.36785906145547,furgoneta,22
81.55875821641727,furgoneta,20
30.433080189434136,camion,0
56.3662874448049,furgoneta,4
5.9653810820244395,camion,18
51.99939458744319,furgoneta,5
72.8566814951874,auto,18
26.427311823277876,auto,1
58.68577384706124,bicicleta,16
4.3035953881726545,camion,16
69.69803953714825,auto,5
59.585781177232526,bicicleta,6
